Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Latvia,LAO,0,0,4,0,0,4,0,0,0,0,0,0,0,0,23,13,0,34,16,0,0,0,0,0,51,0,0,26,28,0,28,24,20,0,20,0,0
Lebanon,LVA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,34,17,16,0,34,0,19,0,82,0,26,27,0,26,24,48,40,20,0,20,20
Lesotho,LBN,0,0,0,4,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Liberia,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,27,0,0,0,0,0,0,0
Libya,LBR,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
Liechtenstein,LBY,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20
Lithuania,LIE,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,21,0,25,25,0,69,0,24,20,20,60,0,20,0
Luxembourg,LTU,0,0,0,0,4,4,0,0,0,0,0,0,0,0,27,14,17,17,16,0,38,0,0,0,24,0,0,27,24,22,26,20,0,0,0,40,20
Macedonia,LUX,0,0,0,4,0,4,5,8,0,0,38,22,79,71,23,11,65,121,63,133,38,0,64,22,20,0,0,111,79,79,83,84,100,40,40,40,120
Madagascar,MKD,8,0,0,0,0,0,0,0,0,0,0,8,0,0,15,0,0,0,16,0,0,0,0,0,0,23,21,27,0,22,0,40,20,20,40,40,80
Malawi,MDG,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,17,16,0,17,0,19,35,0,24,0,0,31,0,44,0,0,60,60,0,80,40
Malaysia,MWI,916,828,944,904,952,900,1234,1409,1720,1839,2650,2527,3244,4000,4166,4627,4950,4112,4565,4871,5465,4174,3323,3709,4925,5739,5981,5678,6454,5885,6180,9925,6760,5200,6220,5640,6400
Maldives,MYS,0,4,0,4,0,36,44,49,36,41,0,27,46,12,38,37,30,14,57,86,117,78,62,195,122,105,154,228,293,110,160,290,220,440,380,480,360
Mali,MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,40,0,40,40
Malta,MLI,0,8,8,8,4,16,6,8,18,9,12,10,10,12,0,0,31,0,36,0,0,0,0,32,0,27,22,0,29,72,110,44,100,20,20,120,60
Marshall Islands,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,16,0,0,34,0,0,0,0,0,29,27,0,0,29,0,0,0,0,0,0,0,0
Mauritania,MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MRT,4,4,16,12,8,16,5,0,0,20,52,0,0,32,0,60,46,14,19,35,19,0,76,69,78,132,73,135,171,59,293,84,80,60,160,220,100
Mexico,MUS,164,84,100,120,60,44,83,144,99,162,197,155,189,322,168,278,228,465,393,409,307,350,340,552,614,925,879,778,961,904,863,858,1080,1340,1960,2240,2700
Micronesia,MEX,24,12,8,8,4,16,9,0,0,0,44,22,0,22,24,28,30,14,19,17,0,0,0,17,0,0,0,0,0,0,86,20,0,0,40,0,20
Moldova,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Monaco,MDA,0,0,8,0,0,4,9,0,0,0,0,0,0,0,0,0,0,33,16,0,16,21,0,0,0,0,0,22,29,0,0,0,0,0,0,0,0
Mongolia,MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,16,30,32,54,51,34,57,29,74,46,23,70,0,52,100,160,180,20,80,120
Montenegro,MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,20,40,0,20
Morocco,MNE,0,4,0,0,0,0,4,0,9,10,0,0,33,12,15,0,33,16,62,35,49,59,59,57,22,155,102,274,272,379,268,218,200,400,360,360,400
Mozambique,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,25,0,0,22,26,20,0,40,0,40,0
Namibia,MOZ,0,0,0,0,0,0,0,0,8,0,0,22,11,0,38,39,16,56,62,61,72,17,96,128,50,174,175,130,242,241,185,160,80,220,240,240,380
Nauru,NAM,32,24,0,0,16,12,21,21,9,18,11,19,56,63,26,11,17,17,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
Nepal,NRU,84,148,164,172,228,168,217,269,392,337,514,343,319,469,484,562,457,598,628,465,790,530,514,416,294,296,483,398,717,716,845,912,980,1200,1100,1200,1540
Netherlands,NPL,840,632,944,896,1024,1088,1173,1503,1068,1342,1484,1060,967,743,1137,1029,1076,843,1063,1236,1124,743,692,746,956,979,962,1064,1151,1160,1108,1099,1420,1020,1480,1320,1460
New Zealand,NDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,98,144,23,0,0,83,0,0,20,140,0
