Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Israel,IRL,5.2,4.6,5.6,7.6,8.8,8.8,4.05,9.25,8.05,12.95,8.5,6.6,10.85,13.1,9.35,14.8,20.25,14.05,17.6,16.9,18.15,4.85,11.15,7.65,6.8,18.5,16.35,17.35,25.4,18.7,29.5,14.4,26,32,26,30,29
Italy,ISR,11.2,14.8,12.6,12.8,13.4,13.8,22.85,26.9,22.4,30.35,38.15,29.15,29.75,39.45,61.7,87.8,91.75,108.75,135.65,138.6,176.95,203.25,188.2,175,269.9,288,342.3,361.9,357.8,312,347.85,452.8,393,481,547,589,536
Jamaica,ITA,0.4,0.2,0.2,0.2,0,0,0.25,1.2,0,0.5,0.55,1.15,1.05,0,1.9,0.75,0.85,1.8,2.3,0,0.8,2,4.5,6.65,1.25,1.65,0,2.7,1.2,3.75,1.2,2.7,2,0,2,2,2
Japan,JAM,44.4,85.6,126,122.8,135.6,137,136,265.9,128.25,149.85,134.95,151.4,181.3,198.65,177.3,190.1,228.8,206.95,202.05,186.25,174.75,185.55,203.5,166.55,205.45,204.1,192.5,253.7,289.65,286.55,301.5,232,300,361,446,622,748
Jordan,JPN,0,0,0,0,0.2,0.2,0,0.4,0,1,0,0,0.5,1.35,1.75,0.55,2.5,0.8,0,1.65,3.8,0,0,0,6.15,1.45,2.8,0,5.35,7.45,6.4,3.7,8,6,3,4,5
Kazakhstan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1.9,0,1,0,0,0,0,0,2.35,2.4,3.4,1,2,0,0,2
Kenya,KAZ,1.8,2.6,3.8,1.6,0.6,1.8,2.4,7,8,6.35,9.55,3.65,7.5,7.05,5.1,4.05,5.05,6.6,4.8,4.5,2.85,3.9,8.05,3.25,6.25,6.55,16.2,12.3,10.5,5.4,18.85,12.3,23,24,10,20,22
Kiribati,KEN,0.4,0.8,0.6,0,0.8,0.6,1.65,2.1,0.95,0.55,0.45,1.1,0.6,0.6,2.05,4.35,4,2.25,0.8,1,2,1.05,0,0.85,1.25,0,2.55,0,4.3,0,5.8,1.4,3,3,2,9,6
Kuwait,KIR,0,0.2,0.4,0,0.2,0,0.6,0,0.55,0,0,0,0.6,0.55,0,0,0,0.7,0,0,0.95,0,0,1.3,1.2,2.8,0,0,1.55,4.15,1.2,5.4,4,2,1,5,4
Kyrgyzstan,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,2
Laos,KGZ,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.55,1.5,1.35,1.7,3.9,7.15,2.6,6.75,8.1,4.25,2.15,5.15,6.75,4.1,8.1,8.55,11.8,5.95,13.5,15,17,15,13,15
Latvia,LAO,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,1.15,0.65,0,1.7,0.8,0,0,0,0,0,2.55,0,0,1.3,1.4,0,1.4,1.2,1,0,1,0,0
Lebanon,LVA,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.2,1.7,0.85,0.8,0,1.7,0,0.95,0,4.1,0,1.3,1.35,0,1.3,1.2,2.4,2,1,0,1,1
Lesotho,LBN,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Liberia,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1.35,0,0,0,0,0,0,0
Libya,LBR,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0
Liechtenstein,LBY,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lithuania,LIE,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,1.05,0,1.25,1.25,0,3.45,0,1.2,1,1,3,0,1,0
Luxembourg,LTU,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,1.35,0.7,0.85,0.85,0.8,0,1.9,0,0,0,1.2,0,0,1.35,1.2,1.1,1.3,1,0,0,0,2,1
Macedonia,LUX,0,0,0,0.2,0,0.2,0.25,0.4,0,0,1.9,1.1,3.95,3.55,1.15,0.55,3.25,6.05,3.15,6.65,1.9,0,3.2,1.1,1,0,0,5.55,3.95,3.95,4.15,4.2,5,2,2,2,6
Madagascar,MKD,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.75,0,0,0,0.8,0,0,0,0,0,0,1.15,1.05,1.35,0,1.1,0,2,1,1,2,2,4
Malawi,MDG,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.85,0.8,0,0.85,0,0.95,1.75,0,1.2,0,0,1.55,0,2.2,0,0,3,3,0,4,2
Malaysia,MWI,45.8,41.4,47.2,45.2,47.6,45,61.7,70.45,86,91.95,132.5,126.35,162.2,200,208.3,231.35,247.5,205.6,228.25,243.55,273.25,208.7,166.15,185.45,246.25,286.95,299.05,283.9,322.7,294.25,309,496.25,338,260,311,282,320
Maldives,MYS,0,0.2,0,0.2,0,1.8,2.2,2.45,1.8,2.05,0,1.35,2.3,0.6,1.9,1.85,1.5,0.7,2.85,4.3,5.85,3.9,3.1,9.75,6.1,5.25,7.7,11.4,14.65,5.5,8,14.5,11,22,19,24,18
Mali,MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,2,0,2,2
Malta,MLI,0,0.4,0.4,0.4,0.2,0.8,0.3,0.4,0.9,0.45,0.6,0.5,0.5,0.6,0,0,1.55,0,1.8,0,0,0,0,1.6,0,1.35,1.1,0,1.45,3.6,5.5,2.2,5,1,1,6,3
Marshall Islands,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0.8,0,0,1.7,0,0,0,0,0,1.45,1.35,0,0,1.45,0,0,0,0,0,0,0,0
Mauritania,MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MRT,0.2,0.2,0.8,0.6,0.4,0.8,0.25,0,0,1,2.6,0,0,1.6,0,3,2.3,0.7,0.95,1.75,0.95,0,3.8,3.45,3.9,6.6,3.65,6.75,8.55,2.95,14.65,4.2,4,3,8,11,5
Mexico,MUS,8.2,4.2,5,6,3,2.2,4.15,7.2,4.95,8.1,9.85,7.75,9.45,16.1,8.4,13.9,11.4,23.25,19.65,20.45,15.35,17.5,17,27.6,30.7,46.25,43.95,38.9,48.05,45.2,43.15,42.9,54,67,98,112,135
Micronesia,MEX,1.2,0.6,0.4,0.4,0.2,0.8,0.45,0,0,0,2.2,1.1,0,1.1,1.2,1.4,1.5,0.7,0.95,0.85,0,0,0,0.85,0,0,0,0,0,0,4.3,1,0,0,2,0,1
Moldova,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monaco,MDA,0,0,0.4,0,0,0.2,0.45,0,0,0,0,0,0,0,0,0,0,1.65,0.8,0,0.8,1.05,0,0,0,0,0,1.1,1.45,0,0,0,0,0,0,0,0
Mongolia,MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.65,0.8,1.5,1.6,2.7,2.55,1.7,2.85,1.45,3.7,2.3,1.15,3.5,0,2.6,5,8,9,1,4,6
Montenegro,MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,1,2,0,1
Morocco,MNE,0,0.2,0,0,0,0,0.2,0,0.45,0.5,0,0,1.65,0.6,0.75,0,1.65,0.8,3.1,1.75,2.45,2.95,2.95,2.85,1.1,7.75,5.1,13.7,13.6,18.95,13.4,10.9,10,20,18,18,20
Mozambique,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.7,0,0,0,0,0,0,0,1.25,0,0,1.1,1.3,1,0,2,0,2,0
Namibia,MOZ,0,0,0,0,0,0,0,0,0.4,0,0,1.1,0.55,0,1.9,1.95,0.8,2.8,3.1,3.05,3.6,0.85,4.8,6.4,2.5,8.7,8.75,6.5,12.1,12.05,9.25,8,4,11,12,12,19
